domain,fund_id,fund_name,classification,track,category,year,annual_return,n_months,assets_end
gemel,1079,אינפיניטי גמל מניות בישראל,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,6.4438,9,58.2
gemel,1080,"אינפיניטי השתלמות (ב) מסלול סל אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,5.0794,9,75.5
gemel,1081,אינפיניטי השתלמות (ב) מסלול סל מנייתי,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,6.0425,9,32.2
gemel,1082,"אינפיניטי השתלמות (ל) מסלול סל אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,5.1476,9,20.4
gemel,1083,אינפיניטי השתלמות כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,5.5929,9,25.9
gemel,1084,"אינפיניטי השתלמות אשראי ואג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,4.9754,9,160.0
gemel,1085,אינפיניטי השתלמות מניות בישראל,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,6.3114,9,58.8
gemel,1098,"מיטב השתלמות מסלול אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,8.1002,12,14.1
gemel,1100,"הפניקס השתלמות אשראי ואג""ח עם מניות (עד 25% מניות)",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,0.23,1,739.8
gemel,1103,אקסלנס גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,5.37,1,71.9
gemel,111,מיטב מירון,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.3869,12,717.5
gemel,1110,"מנורה מבטחים השתלמות מסלול אג""ח קונצרני",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,8.6492,12,25.0
gemel,1114,מנורה מבטחים השתלמות כספי (שקלי),קרנות השתלמות,כספי,קרנות השתלמות | כספי,2010,2.1806,12,56.3
gemel,1116,מיטב גמל פלוס,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.6755,12,125.5
gemel,1117,מיטב השתלמות פלוס,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.7888,12,31.8
gemel,1119,"מיטב תגמולים מסלול אג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,8.4438,12,20.8
gemel,1120,מיטב דינאמית גמל מסלול כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,11.0372,12,319.3
gemel,1122,כלל גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,16.1917,12,23.3
gemel,1124,כלל גמל מדד,תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,8.6392,12,100.6
gemel,1127,כלל גמל שקלי טווח קצר,תגמולים ואישית לפיצויים,כספי,תגמולים ואישית לפיצויים | כספי,2010,1.5811,12,32.0
gemel,1128,כלל גמל כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.9597,12,337.0
gemel,113,פסגות קרן אור,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.3945,12,2171.6
gemel,1139,מיטב דינאמית להשתלמות מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,11.0522,12,399.5
gemel,114,אי.בי.אי שחר תגמולים ופיצויים,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,7.4614,12,18.8
gemel,1146,מנורה גמל כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,11.0528,12,178.0
gemel,1147,"מנורה מבטחים תגמולים ופיצויים אג""ח עד 10% מניות",תגמולים ואישית לפיצויים,עד 25% מניות,תגמולים ואישית לפיצויים | עד 25% מניות,2010,8.109,12,370.1
gemel,1148,מנורה השתלמות כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.0713,12,299.5
gemel,1149,"מנורה מבטחים השתלמות אג""ח עד 10% מניות",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,8.3433,12,291.2
gemel,1156,מגדל לתגמולים ולפיצויים מסלול ביג כללי לפחות 30% מניות,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.9781,12,206.2
gemel,1157,מגדל השתלמות מסלול ביג כללי לפחות 30% מניות,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.7099,12,701.0
gemel,1162,ילין לפידות קרן השתלמות מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,4.2547,3,283.2
gemel,1163,ילין לפידות קופת גמל מסלול כללי ב',תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,4.2615,3,254.9
gemel,117,"כלל תמר אשראי ואג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,7.9711,12,816.4
gemel,1172,"תמיר פישמן גמל אג""ח מדינה",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,4.6516,12,12.9
gemel,1175,"תמיר פישמן השתלמות אג""ח מדינה",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,4.7238,12,6.5
gemel,1183,פסגות שיא השתלמות ישראל,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.4588,12,885.2
gemel,1184,"פסגות השתלמות אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,6.3812,12,450.4
gemel,1185,פסגות השתלמות מניות,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,15.3345,12,84.3
gemel,1186,מילניום קרן השתלמות מסלולית - מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,9.3311,12,82.5
gemel,1187,מילניום קופה לתגמולים ופיצויים מסלולית - מסלול כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,8.8915,12,100.4
gemel,1189,אקסלנס גמל עד 50% מניות,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,2.49,1,205.3
gemel,119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,9.4884,12,755.9
gemel,1190,"הפניקס השתלמות אג""ח עד 25% מניות",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,2.37,1,431.1
gemel,1195,מיטב וויזר גמל כללית,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,8.5161,12,80.1
gemel,1196,מיטב וויזר השתלמות כללית,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,8.6011,12,94.5
gemel,1198,"הלמן-אלדובי גמל מסלול אג""ח ללא מניות",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,7.4676,12,140.5
gemel,1199,"אי.בי.אי לתגמולים ופיצויים מסלול אג""ח ועוד",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,7.1292,12,331.4
gemel,1200,אי.בי.אי לתגמולים ופיצויים מסלול כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.0905,12,229.5
gemel,1201,אי.בי.אי לתגמולים ופיצויים מסלול מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,11.7011,12,40.1
gemel,1202,"הלמן-אלדובי קרן השתלמות מסלול אג""ח ללא מניות",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,7.0773,12,105.2
gemel,1203,"הלמן-אלדובי קרן השתלמות מסלול אג""ח עד 10% מניות",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,6.7496,12,206.4
gemel,1204,אי.בי.אי קרן השתלמות מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,9.6174,12,182.8
gemel,1205,אי.בי.אי קרן השתלמות מסלול מניות,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,11.8265,12,39.4
gemel,1207,מיטב וויזר גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,10.886,12,3.9
gemel,1208,מיטב וויזר השתלמות מניות,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,10.9544,12,3.8
gemel,1209,"אינפיניטי גמל אג""ח ממשלות",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,3.4672,9,8.6
gemel,121,ישיר תוחלת קופה לתגמולים ופיצויים מקבוצת ביטוח ישיר,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,11.7163,12,21.0
gemel,1210,"אינפיניטי השתלמות אג""ח ממשלות",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,3.4259,9,6.2
gemel,1215,פסגות שיא גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,16.874,12,158.9
gemel,1216,פסגות שיא גמל כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.8492,12,1544.5
gemel,1217,פסגות שיא השתלמות מנייתי,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,15.6112,12,56.6
gemel,1218,פסגות שיא השתלמות כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.6548,12,1294.9
gemel,1219,אלטשולר שחם קמה,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,8.2685,12,144.4
gemel,1220,מילניום קרן השתלמות מסלולית - מסלול מניות,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,14.1201,12,17.0
gemel,1221,מילניום קופה לתגמולים ופיצויים מסלולית - מסלול מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,14.5306,12,16.6
gemel,1229,"הדס ארזים אפסילון תגמולים מסלול אג""ח",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,6.0849,12,35.6
gemel,123,אקסלנס גמולה,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,0.87,1,201.6
gemel,1230,הדס ארזים אפסילון תגמולים מסלול מנייתי,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,11.2139,12,10.5
gemel,1231,"הדס ארזים אפסילון השתלמות מסלול אג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,6.0843,12,14.5
gemel,1232,הדס ארזים אפסילון השתלמות מסלול מנייתי,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,10.5297,12,3.8
gemel,1235,"מיטב דש גמל אג""ח (ללא מניות)",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,7.3447,12,241.2
gemel,1236,"מיטב גמל אג""ח 85",תגמולים ואישית לפיצויים,עד 25% מניות,תגמולים ואישית לפיצויים | עד 25% מניות,2010,8.3616,12,223.3
gemel,1239,מיטב גמל מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,16.1913,12,51.5
gemel,124,כלל תמר מדד,תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,9.2621,12,1333.9
gemel,1240,"מיטב השתלמות אשראי ואג""ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,7.0379,12,175.5
gemel,1241,"מיטב השתלמות אג""ח 85",קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,8.3611,12,153.8
gemel,1244,מיטב השתלמות מניות,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,15.8772,12,45.5
gemel,1245,מיטב דש גמל חכם עד 40,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,15.0937,12,17.6
gemel,1246,מיטב גמל חכם מסלול בין 40 ל-50,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.694,12,94.0
gemel,1247,מיטב גמל חכם מסלול בין 50 ל-60,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,9.8102,12,62.8
gemel,1248,מיטב גמל חכם מסלול 60 פלוס,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,8.1065,12,120.8
gemel,1249,"מיטב גמל חכם מסלול אג""ח ב",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,3.8195,12,79.9
gemel,125,אשכולות קופת תגמולים כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,11.1438,12,752.5
gemel,1250,מיטב השתלמות חכם מסלול מנייתי,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,15.5519,12,15.7
gemel,1251,מיטב השתלמות חכם מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.6622,12,55.8
gemel,1252,"מיטב השתלמות חכם מסלול אג""ח ש",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,9.3713,12,27.8
gemel,1253,"מיטב השתלמות חכם מסלול אג""ח ח",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,7.8055,12,62.2
gemel,1254,"מיטב השתלמות חכם מסלול אג""ח ב",קרנות השתלמות,"אג""ח ללא מניות","קרנות השתלמות | אג""ח ללא מניות",2010,3.8081,12,80.0
gemel,1255,מנורה גמל מנייתי,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,8.2935,12,8.6
gemel,1256,מנורה מבטחים השתלמות מסלול מניות,קרנות השתלמות,מניות אקטיבי,קרנות השתלמות | מניות אקטיבי,2010,7.5033,12,12.3
gemel,1260,פסגות שיא השתלמות בטא,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,11.9549,12,88.0
gemel,1263,אלומות תגמולים ופיצויים מסלול כללי,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,3.3423,3,12.4
gemel,1264,"אלומות תגמולים ופיצויים מסלול אג""ח א",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,1.7561,3,18.0
gemel,1265,"אלומות תגמולים ופיצויים מסלול אג""ח ב",תגמולים ואישית לפיצויים,"אג""ח ללא מניות","תגמולים ואישית לפיצויים | אג""ח ללא מניות",2010,1.7687,3,9.1
gemel,1266,אלומות תגמולים ופיצויים מסלול מנייתי,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,10.4167,3,0.6
gemel,1267,אלומות קרן השתלמות מסלול כללי,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,3.5868,3,21.2
gemel,1269,קואטרו מנורה תגמולים א',תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,5.4075,7,0.0
gemel,127,כלל תמר מניות,תגמולים ואישית לפיצויים,מניות אקטיבי,תגמולים ואישית לפיצויים | מניות אקטיבי,2010,17.0062,12,156.7
gemel,1270,קואטרו מנורה השתלמות א',קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,5.7102,7,4.4
gemel,1272,איפקס סלע תגמולים,תגמולים ואישית לפיצויים,עד 25% מניות,תגמולים ואישית לפיצויים | עד 25% מניות,2010,7.2521,12,463.2
gemel,1273,איפקס עוז תגמולים,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,10.5713,12,94.1
gemel,1274,איפקס סלע השתלמות,קרנות השתלמות,עד 25% מניות,קרנות השתלמות | עד 25% מניות,2010,6.8487,12,451.2
gemel,1275,איפקס עוז השתלמות,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,10.5413,12,150.7
gemel,1277,ספרינט גמל לתגמולים ופיצויים,תגמולים ואישית לפיצויים,כללי/מעורב/גמיש/תלוי גיל,תגמולים ואישית לפיצויים | כללי/מעורב/גמיש/תלוי גיל,2010,3.0569,4,0.0
gemel,1278,ספרינט קרן השתלמות,קרנות השתלמות,כללי/מעורב/גמיש/תלוי גיל,קרנות השתלמות | כללי/מעורב/גמיש/תלוי גיל,2010,3.1175,4,0.0
