domain,category,signal_year,winner_fund_id,winner_name,signal_return,signal_n,y1_year,y1_status,y1_return,y1_rank,y1_n,y1_percentile,y2_year,y2_status,y2_return,y2_rank,y2_n,y2_percentile,y3_year,y3_status,y3_return,y3_rank,y3_n,y3_percentile
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2016,1355,"הפניקס תגמולים ופיצויים - מסלול אג""ח",6.15,23,2017,present,4.54,8,23,68.2,2018,absent,,,19,,2019,absent,,,17,
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2017,8698,"אלפא מור תגמולים - מסלול עוקב מדד ""תל בונד 20""",6.93,23,2018,present,-1.08,13,19,33.3,2019,present,7.71,7,17,62.5,2020,present,0.08,16,18,11.8
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2018,1037,"ילין לפידות קופת גמל מסלול אשראי ואג""ח",2.1,19,2019,present,4.86,17,17,0.0,2020,present,1.31,10,18,47.1,2021,present,4.2,11,14,23.1
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2019,1692,"מיטב גמל עוקב מדדי אג""ח",10.87,17,2020,present,2.57,2,18,94.1,2021,present,8.07,1,14,100.0,2022,present,-10.71,15,15,0.0
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2020,1376,"אלטשולר שחם גמל אשראי ואג""ח",4.27,18,2021,present,3.79,13,14,7.7,2022,present,-2.83,4,15,78.6,2023,present,4.66,12,15,21.4
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2021,1692,"מיטב גמל עוקב מדדי אג""ח",8.07,14,2022,present,-10.71,15,15,0.0,2023,present,10.99,2,15,92.9,2024,present,7.83,2,14,92.3
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2022,11942,"סלייס גמל קופת גמל לחסכון אג""ח אג""ח",3.47,15,2023,present,5.35,6,15,64.3,2024,present,3.34,14,14,0.0,2025,absent,,,20,
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2023,13355,"מנורה מבטחים תגמולים ופיצויים מסלול אשראי ואג""ח",11.77,15,2024,present,7.63,3,14,84.6,2025,present,8.51,4,20,84.2,,no_data,,,,
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2024,14481,"אלפא מור קופת גמל לחיסכון, קופת גמל לתגמולים וקופת גמל אישית לפיצויים - אשראי ואג""ח",9.53,14,2025,present,8.71,3,20,89.5,,no_data,,,,,,no_data,,,,
gemel,"תגמולים ואישית לפיצויים | אג""ח ללא מניות",2025,15208,"הפניקס גמל אג""ח סחיר",13.27,20,,no_data,,,,,,no_data,,,,,,no_data,,,,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2010,859,"מגדל לתגמולים ולפיצויים מסלול אג""ח ממשלות",7.67,9,2011,absent,,,9,,2012,absent,,,9,,2013,present,3.36,6,14,61.5
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2011,1172,"תמיר פישמן גמל אג""ח מדינה",5.74,9,2012,present,8.06,1,9,100.0,2013,absent,,,14,,2014,absent,,,15,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2012,1172,"תמיר פישמן גמל אג""ח מדינה",8.06,9,2013,absent,,,14,,2014,absent,,,15,,2015,absent,,,16,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2013,2118,תגמולים שיטת הפניקס אגח ממשלתי שקלי ריבית קבועה +5,5.72,14,2014,present,14.58,1,15,100.0,2015,present,5.7,1,16,100.0,2016,absent,,,11,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2014,2118,תגמולים שיטת הפניקס אגח ממשלתי שקלי ריבית קבועה +5,14.58,15,2015,present,5.7,1,16,100.0,2016,absent,,,11,,2017,absent,,,11,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2015,2118,תגמולים שיטת הפניקס אגח ממשלתי שקלי ריבית קבועה +5,5.7,16,2016,absent,,,11,,2017,absent,,,11,,2018,absent,,,11,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2016,1412,"אנליסט גמל אג""ח ממשלות",1.71,11,2017,present,3.68,3,11,80.0,2018,present,-1.43,10,11,10.0,2019,present,4.42,8,11,30.0
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2017,8696,"אלפא מור תגמולים - מסלול עוקב מדד ""מדדיות ממשלתיות לטווח של 5-10 שנים""",4.65,11,2018,present,-1.26,9,11,20.0,2019,present,8.27,3,11,80.0,2020,present,0.61,6,11,50.0
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2018,1209,"אינפיניטי גמל אג""ח ממשלות",0.02,11,2019,present,2.69,11,11,0.0,2020,present,-0.68,11,11,0.0,2021,present,1.72,8,9,12.5
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2019,8697,"אלפא מור תגמולים - מסלול עוקב מדד ""שקליות ריבית קבועה ממשלתיות""",8.91,11,2020,present,1.53,2,11,90.0,2021,present,-0.87,9,9,0.0,2022,present,-9.37,8,9,12.5
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2020,1395,"אלטשולר שחם גמל אג""ח ממשלות",2.38,11,2021,present,3.01,4,9,62.5,2022,present,-3.29,1,9,100.0,2023,present,3.69,2,8,85.7
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2021,8696,"אלפא מור תגמולים - מסלול עוקב מדד ""מדדיות ממשלתיות לטווח של 5-10 שנים""",6.47,9,2022,present,-9.95,9,9,0.0,2023,present,1.01,8,8,0.0,2024,no_data,,,,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2022,1395,"אלטשולר שחם גמל אג""ח ממשלות",-3.29,9,2023,present,3.69,2,8,85.7,2024,no_data,,,,,2025,no_data,,,,
gemel,"תגמולים ואישית לפיצויים | אג""ח ממשלתי",2023,1386,"מיטב גמל אג""ח ממשלות",3.92,8,2024,no_data,,,,,2025,no_data,,,,,,no_data,,,,
gemel,תגמולים ואישית לפיצויים | כספי,2010,876,מיטב גמל כספי (שקלי),6.77,20,2011,present,5.26,6,26,80.0,2012,present,6.71,5,19,77.8,2013,present,3.9,5,19,77.8
gemel,תגמולים ואישית לפיצויים | כספי,2011,126,"כלל תמר מט""ח",9.81,26,2012,present,2.39,14,19,27.8,2013,present,-6.03,19,19,0.0,2014,present,11.37,3,17,87.5
gemel,תגמולים ואישית לפיצויים | כספי,2012,723,הלמן-אלדובי בר-יציב שקלי,7.83,19,2013,present,4.54,2,19,94.4,2014,present,5.64,7,17,62.5,2015,present,0.87,7,19,66.7
gemel,תגמולים ואישית לפיצויים | כספי,2013,789,"אקסלנס גמל מט""ח",11.33,19,2014,present,13.97,1,17,100.0,2015,present,-3.57,19,19,0.0,2016,absent,,,14,
gemel,תגמולים ואישית לפיצויים | כספי,2014,789,"אקסלנס גמל מט""ח",13.97,17,2015,present,-3.57,19,19,0.0,2016,absent,,,14,,2017,absent,,,14,
gemel,תגמולים ואישית לפיצויים | כספי,2015,1368,הראל גמל מסלול שקלי,2.59,19,2016,present,2.49,1,14,100.0,2017,present,5.89,1,14,100.0,2018,present,-1.28,14,14,0.0
gemel,תגמולים ואישית לפיצויים | כספי,2016,1368,הראל גמל מסלול שקלי,2.49,14,2017,present,5.89,1,14,100.0,2018,present,-1.28,14,14,0.0,2019,present,6.68,3,13,83.3
gemel,תגמולים ואישית לפיצויים | כספי,2017,1368,הראל גמל מסלול שקלי,5.89,14,2018,present,-1.28,14,14,0.0,2019,present,6.68,3,13,83.3,2020,present,2.31,1,13,100.0
gemel,תגמולים ואישית לפיצויים | כספי,2018,1334,הראל גמל כספי (שקלי),0.27,14,2019,present,0.34,10,13,25.0,2020,present,0.28,6,13,58.3,2021,present,0.08,8,12,36.4
gemel,תגמולים ואישית לפיצויים | כספי,2019,592,כלל תמר שקלים,7.42,13,2020,present,1.68,2,13,91.7,2021,present,-0.39,12,12,0.0,2022,present,-7.39,12,12,0.0
gemel,תגמולים ואישית לפיצויים | כספי,2020,1368,הראל גמל מסלול שקלי,2.31,13,2021,present,1.33,1,12,100.0,2022,present,-6.63,11,12,9.1,2023,present,3.09,12,12,0.0
gemel,תגמולים ואישית לפיצויים | כספי,2021,1368,הראל גמל מסלול שקלי,1.33,12,2022,present,-6.63,11,12,9.1,2023,present,3.09,12,12,0.0,2024,absent,,,9,
gemel,תגמולים ואישית לפיצויים | כספי,2022,8699,"אלפא מור קופת גמל לחיסכון, קופת גמל לתגמולים וקופת גמל אישית לפיצויים - כספי (שקלי)",0.96,12,2023,present,4.32,3,12,81.8,2024,present,4.46,4,9,62.5,2025,present,4.57,4,9,62.5
gemel,תגמולים ואישית לפיצויים | כספי,2023,592,כלל תמר שקלים,4.91,12,2024,absent,,,9,,2025,absent,,,9,,,no_data,,,,
gemel,תגמולים ואישית לפיצויים | כספי,2024,1394,אלטשולר שחם גמל כספי (שקלי),4.93,9,2025,present,5.18,2,9,87.5,,no_data,,,,,,no_data,,,,
gemel,תגמולים ואישית לפיצויים | כספי,2025,128,כלל תמר כספי(שקלי),5.21,9,,no_data,,,,,,no_data,,,,,,no_data,,,,
